f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,label
2.37831,0.90882,-0.34248,-1.46588,1.0501,0.34321,-1.69958,-0.60054,-1.30765,-0.30518,-1.08445,-0.34248,0.31275,-0.99287,0.08613,-1.94823,-1.94823,-0.41798,0.4725,1.51389,2
1.63643,-0.04182,-0.00721,-1.02523,1.06021,1.13156,0.00391,-0.79516,2.0869,1.39886,0.59978,-0.00721,-0.33639,0.07361,0.82842,-0.32632,-0.32632,0.00846,-1.11648,0.06049,2
-0.01752,-0.29163,-0.29602,0.03251,0.35061,0.53535,-2.24886,-2.07619,0.7255,1.63457,1.21685,-0.29602,0.43748,-0.6371,-0.42619,-1.31107,-1.31107,-0.86924,0.02698,1.20045,0
-1.40635,0.19905,-0.43153,0.91292,-0.30694,0.00574,0.12961,-0.96584,0.46285,-3.60847,0.99053,-0.43153,-0.23867,2.00846,0.40592,-1.6629,-1.6629,-1.04753,-0.43522,-0.63791,0
0.86994,-0.65702,-0.1635,-0.53341,0.95039,1.4456,1.49988,-0.91173,0.08651,0.86378,-1.76843,-0.1635,-1.4783,-1.2636,-1.56881,-0.88236,-0.88236,-0.90352,1.69337,-0.59728,2
0.58303,-0.01782,0.09465,-0.37234,-0.50041,-1.52161,2.12439,-0.7206,0.26091,-0.01006,-0.55948,0.09465,-0.22752,1.60573,-1.09133,0.31535,0.31535,-0.41535,-0.32965,0.86613,3
1.74023,-1.32834,0.37188,-1.11786,1.8859,-0.54443,-0.52429,-1.09522,-0.92773,-0.59132,1.57751,0.37188,-0.70518,-0.29106,-0.16547,1.338,1.338,0.38502,-0.11394,0.80673,3
1.405,0.31188,0.1783,-0.89366,0.98127,0.0311,-0.1434,0.17184,-0.07833,0.82742,0.50269,0.1783,0.71047,1.31941,-0.17546,0.53889,0.53889,0.85204,0.11181,-0.23573,3
-1.50284,0.58094,0.24503,0.9242,-0.59188,0.21609,-1.96066,0.65265,-1.13871,0.27392,-0.44175,0.24503,-3.05746,-0.6847,-0.51002,1.35816,1.35816,-0.23739,0.88367,1.97847,1
-0.95927,0.11329,-0.28798,0.62224,0.40717,2.14224,-1.17547,-1.15365,1.51766,-1.67462,-0.82337,-0.28798,0.7442,-0.22933,1.49772,-1.106,-1.106,-0.75771,-0.43034,-0.19256,0
-0.25383,-0.00369,0.25686,0.14043,0.09978,0.77061,-0.76375,-1.04245,-2.79721,0.6694,0.05505,0.25686,0.31295,-0.18502,-0.59246,1.186,1.186,1.46871,-0.14696,-1.17173,3
-1.83799,0.13438,0.16482,1.14011,-1.35003,-0.44125,-1.22557,1.23855,-0.43136,0.02842,-0.93084,0.16482,-0.59909,-0.4591,1.13318,1.06234,1.06234,-0.95429,-0.47567,-1.05314,1
-1.71475,0.85701,-0.44505,1.10722,-1.63215,-0.03744,-1.30725,1.62254,1.94496,-0.95708,-0.50304,-0.44505,-0.61497,-1.30001,0.67231,-1.66745,-1.66745,-1.02399,-0.72706,2.07455,0
1.88682,-0.16126,0.37917,-1.21029,0.11955,0.73348,-1.34901,0.12741,-0.74027,0.67364,-2.07199,0.37917,-0.72878,0.61589,0.19834,1.34404,1.34404,0.52562,-0.91513,0.82859,3
-0.95671,-0.09774,0.18304,0.58638,-0.21284,-0.40003,-1.2711,-0.04559,-0.83893,-0.05909,0.04583,0.18304,-0.27487,-2.11988,-1.09815,0.98471,0.98471,0.11968,-1.67724,0.54092,1
-0.48168,-1.12966,-0.38078,0.32962,0.39652,0.64742,-0.7598,-2.35114,0.59386,-0.91502,0.46125,-0.38078,0.81731,-1.01359,1.06917,-1.60391,-1.60391,-1.07903,-0.95456,-0.75829,0
-0.65956,1.88592,0.22498,0.39707,1.30567,1.40977,0.66765,1.32509,-0.47766,-1.52056,0.62271,0.22498,-0.77747,1.06417,1.14915,1.11744,1.11744,0.47484,1.33743,-0.83959,1
0.61714,0.33677,0.13729,-0.39682,0.0612,-1.24667,-0.42515,-1.52586,1.03305,-0.30148,-2.32176,0.13729,1.13374,2.3654,-1.41111,0.49854,0.49854,-0.94372,0.84752,-1.28851,3
1.65741,0.26626,-0.22528,-1.02252,-1.95399,0.12297,-1.42084,0.47788,1.19173,-0.86767,0.93373,-0.22528,-1.96064,0.77732,0.65488,-1.29825,-1.29825,-0.67641,0.13987,1.34321,2
-1.26872,0.37393,0.14642,0.78462,0.06281,-0.97697,-0.83903,-0.30434,0.32729,-1.67999,1.66559,0.14642,1.35303,0.44861,0.13292,0.87822,0.87822,-0.79819,-1.32244,1.08808,1
1.40315,-1.3512,0.34286,-0.90447,0.03243,-0.59614,-1.00732,-0.84403,0.01985,-0.82762,1.51689,0.34286,1.17183,-0.17726,-0.37165,1.26981,1.26981,-0.4998,-0.38213,-0.05663,3
-1.49998,-1.61972,-0.31264,0.96296,-0.53438,-0.21411,-0.05285,0.12861,1.11116,0.7518,0.41498,-0.31264,0.90007,-0.2424,-1.0057,-1.11824,-1.11824,0.36168,-0.26789,0.25127,0
-1.17893,-0.77879,-0.22153,0.7551,0.13121,0.60074,-0.5645,0.71854,0.15937,-0.31324,0.39693,-0.22153,0.02934,-0.07564,-0.37105,-0.77148,-0.77148,0.75031,-0.15891,0.43222,0
-1.0322,2.02845,-0.24472,0.66481,-0.46134,1.02762,1.26365,-0.36583,0.58468,-0.52648,0.19008,-0.24472,-0.76801,1.41053,-0.30844,-0.90083,-0.90083,0.65287,0.05359,0.01388,0
-0.55639,-1.81816,0.14269,0.33838,0.56189,2.37021,-0.31736,-2.67905,-0.90111,-0.84536,-0.93338,0.14269,-0.05227,-0.57879,1.40413,0.73355,0.73355,0.62304,0.91095,-0.1988,1
0.06123,0.73983,0.42826,-0.06953,1.1449,-0.35822,1.63846,-1.53308,1.6267,0.08569,1.09514,0.42826,1.81022,0.35131,-1.48101,1.89033,1.89033,0.88989,0.0138,-0.71015,3
-0.10125,-0.18611,0.28367,0.04283,-0.04652,0.80802,-1.15746,1.22155,-0.71927,0.66762,-1.33744,0.28367,-0.18894,0.65286,-0.73665,1.27759,1.27759,-1.61123,1.2147,0.83078,3
0.04312,0.11643,-0.21252,-0.01157,-0.72653,-0.20076,-0.20407,2.81693,-0.34677,0.7867,-0.67811,-0.21252,-2.02517,0.18459,0.1553,-0.95128,-0.95128,0.92359,0.16066,1.32003,2
-1.01439,-0.45401,0.21592,0.62014,-0.65685,-0.71725,0.07954,1.0549,0.73202,1.93292,1.31981,0.21592,0.9028,-0.61954,-0.45502,1.14103,1.14103,0.93234,-3.32983,0.56837,1
2.0146,1.54152,-0.27903,-1.24251,-3.45758,0.43305,0.74496,0.58052,-0.11756,-0.78666,-1.60509,-0.27903,0.53992,-1.29912,0.44159,-1.60116,-1.60116,0.11828,0.15721,0.73691,2
1.195,0.15383,-0.35088,-0.72354,-0.15151,1.18171,0.00428,0.84269,-0.31753,-0.20198,0.30889,-0.35088,-1.67967,1.88808,0.16213,-1.77273,-1.77273,-1.4448,-0.49342,1.09833,2
1.09811,0.62482,0.32407,-0.71189,0.27436,0.44702,0.11438,0.954,0.13881,0.71697,-1.70138,0.32407,0.1485,0.36141,0.45599,1.24127,1.24127,0.378,-0.94639,-1.69869,3
-1.3529,1.24805,0.1611,0.83632,-1.75685,0.77303,-0.63693,-1.29486,-1.08175,-0.84376,-0.07477,0.1611,0.94485,0.66828,-0.41729,0.95855,0.95855,-1.79855,-0.74907,-1.93118,1
1.13206,-0.32267,-0.25411,-0.69112,-1.34786,0.36555,-0.28176,0.8869,-0.57643,-1.61851,0.09543,-0.25411,-1.53983,0.73725,0.33303,-1.33179,-1.33179,1.01329,0.18135,0.33318,2
-1.29149,1.17457,0.17481,0.79682,1.88812,1.52632,-0.80225,0.92756,0.98475,0.99691,0.71114,0.17481,-0.85519,0.70756,0.15823,1.00838,1.00838,0.30649,1.28536,0.62265,1
